"If you want to 100% check your qb vs this list, the only way I know is to copy/paste your qb from /qb list # command BELOW the last row of this column. Then do a Find and Replace under Edit, Find the following without quotes """" and replace with nothing. After you do this any qb you already have will be highlighted, you can then filter out these higlights using filter by color. (if you need help message Angrboa)",,,,,
Asherons Call Custom Quest QB List,QBs Tracked: 3959,,,,
GeowulfJournal1,The_Temple_of_Xik_Minru,,,Timer for Geowulf's Journal Logs 1-2,FALSE
GeowulfJournal2,The_Temple_of_Xik_Minru,,,Timer for Geowulf's Journal Logs 3-4,FALSE
GeowulfJournal3,The_Temple_of_Xik_Minru,,,Timer for Geowulf's Journal Logs 5-7,FALSE
geowulfsring,The_Temple_of_Xik_Minru,,,Pickup timer for Geowulf's Wedding Ring,FALSE
GerainesBodiesBookOne0412,,,,quest timer,FALSE
GerainesBodiesCompleted0412,,,,quest timer,FALSE
GerainesLibraryBook0312,Mhoire_Infiltration,,,quest timer,FALSE
GerainesLibraryCompleted0312,Mhoire_Infiltration,,,quest timer,FALSE
GeraineStudyBookPickup,Mhoire_Infiltration,,,quest timer,FALSE
GeraineStudyKeyPickup,Mhoire_Infiltration,,,quest timer,FALSE
gerainetome2,Geraine's_Hosts,,,quest timer,FALSE
gerainetome3,Geraine's_Hosts,,,quest timer,FALSE
gerainetome4,Geraine's_Hosts,,,quest timer,FALSE
gerainetome5,Geraine's_Hosts,,,quest timer,FALSE
gerainetome6,Geraine's_Hosts,,,quest timer,FALSE
gerainetome7,Geraine's_Hosts,,,quest timer,FALSE
giantaggregateshardpickup,Crystalline_Adventurer,,,Picked up Giant Aggregate Crystalline Shard,FALSE
GiantMonougaRib_Pickup,Monouga_Feeding_Pit_Quest,,,Player has picked up Giant Monouga Rib,FALSE
GinSword,Knights_of_Karlun_Quest,,,Knights of Karlun - Sir Ginazio,FALSE
GivenTibriSpear,Tibri's_Fire_Spear_Quest,Let Tibri examine Spear,,Player has given Tibri back her fire spear.,FALSE
glendeninvaders,Glenden_Wood_Invaders,Complete both objectives of Londigul's quest,,Glenden Wood Invaders quest cooldown timer,FALSE
glendeninvadersblockadeE,Glenden_Wood_Invaders,Kill 1 Blockade Guard at East,,Glenden Wood Invaders Blockade Guard East,FALSE
glendeninvadersblockadeguards,Glenden_Wood_Invaders,Kill 1 of each blockade guard,,Glenden Invaders Blockade Guard quest cooldown timer,FALSE
glendeninvadersblockadeguardstarted,Glenden_Wood_Invaders,Talk to Londigul,,Started Glenden Wood Invaders Blockade Guards portion of quest,FALSE
glendeninvadersblockadeN,Glenden_Wood_Invaders,Kill 1 Blockade Guard at North,,Glenden Wood Invaders Blockade Guard North,FALSE
glendeninvadersblockadeW,Glenden_Wood_Invaders,Kill 1 Blockade Guard at West,,Glenden Wood Invaders Blockade Guard West,FALSE
glendeninvaderskills,Glenden_Wood_Invaders,Kill 20 Invaders,,Glenden Woods Invaders kill counter,FALSE
glendeninvadersstarted,Glenden_Wood_Invaders,Talk to Londigul,,Started Glenden Wood Invaders quest,FALSE
glendenorbgiven,Glenden_Wood_Invaders,Give Recall orb to Londigul,,Glenden Wood Recall Orb given,FALSE
GlowingStatueShardPickupTimer,Saving_Asheron,Loot Glowing Statue Shard,,Pickup timer for Glowing Statue Shard,FALSE
GlyphKivikLirShardBlood,The_Temple_of_Kivik_Lir,Pick up Fragment of blood,,You've used the Eye.,FALSE
GlyphKivikLirShardWood,The_Temple_of_Kivik_Lir,Pick up Fragment of Charred wood,,You've used the Eye.,FALSE
goldgeartrooperkillcount,Gold_Gear_Trooper_Kill_Task,,,kill count,FALSE
GoldGearTrooperKillTask,Gold_Gear_Trooper_Kill_Task,,,kill task timer,FALSE
GoldInvaderLordHelm,Defense_of_Zaikhal_(Gold),,,Timer for Gold Lord Helm,FALSE
goldknightmedallion,Defense_of_Zaikhal_(Gold),,,Defense of Zaikhal Medallion Pickup Timer Gold,FALSE
GoldLetterTurnIns,Non-Quest,,,Counter for Lucky Gold Letter turn ins.,FALSE
GoldLetterTurnInTimer,Non-Quest,,,Countdown timer for Lucky Gold Letter turn ins.,FALSE
GolemCoralViceroySlayerQuest,Coral_Golem_Viceroy_Kill_Task,,,You are on the Mud Golem Sludge Lord Slayer Quest,FALSE
GolemGlacialMargraveSlayerQuest,Glacial_Golem_Margrave_Kill_Task,,,You are on the Mud Golem Sludge Lord Slayer Quest,FALSE
GolemMudSludgeLordSlayerQuest,Mud_Golem_Sludge_Lord_Kill_Task,,,You are on the Mud Golem Sludge Lord Slayer Quest,FALSE
GormlingStoutQuest,Feud_of_Neydisa_and_Bandit_Castle,Give Nelvaine's Old Ispar Stout to Gormling,,Gormling Stout Quest,FALSE
GOTDARKTREERWARD,Crystal_Minds_and_Shattered_Souls,,,turned in 1st crystal,FALSE
GOTDEC2002DECORATION,,,,Recieved Decoration.,FALSE
GOTDECPRESENT,,,,Received present.,FALSE
GotDiamondIdol,Fetish_of_the_Dark_Idols_Quest,,,You've looted a diamond idol recently.,FALSE
GotElariwoodIdol,Fetish_of_the_Dark_Idols_Quest,,,You've looted an elariwood idol recently.,FALSE
GotFrozenFuryAward,Frozen_Fury,,,Player got sword,FALSE
GotGemPortalMageAcademy,The_Mage_Academy,Loot Black Gem from Lord Kelannik,,You have recently picked up the Black Gem,FALSE
GOTIOLITE,Gift_Box_Quest,Talk to Anasha,,Player was given Iolite,FALSE
GotOlthoiAxe,Olthoi_Weapons_Quest,,,Picked up note,FALSE
GotOlthoiKatar,Olthoi_Weapons_Quest,,,Picked up note,FALSE
GotOlthoiSpear,Olthoi_Weapons_Quest,,,Picked up note,FALSE
GotPainbringerHead,The_Painbringer_Quest,,,You've looted the head of The Painbringer.,FALSE
GotRustedBrassKey,The_Painbringer_Quest,,,You've picked up a Rusted Brass key.,FALSE
GOTSOULSHATTERREWARD,Crystal_Minds_and_Shattered_Souls,,,turned in 3rd crystal,FALSE
GotSpearGivenHeart,Spear_of_the_Given_Heart_Quest,,,got the spear,FALSE
GotSpearTokenHalf1,Spear_of_the_Given_Heart_Quest,,,got the spear token half,FALSE
GotSpearTokenHalf2,Spear_of_the_Given_Heart_Quest,,,got the spear token half,FALSE
GotTamianJournal,Spear_of_the_Given_Heart_Quest,,,Got Tamian Journal,FALSE
GOTTAMIANJOURNALAWARD,Spear_of_the_Given_Heart_Quest,,,Got Tamian Journal Award,FALSE
GOTTAMIANNOTE4AWARD,Spear_of_the_Given_Heart_Quest,,,Got Tamian Note4 award,FALSE
GotTuskerFur,Fetish_of_the_Dark_Idols_Quest,,,You've looted infected tusker fur recently.,FALSE
GotWardingRing,Fetish_of_the_Dark_Idols_Quest,,,You've looted a warding ring recently.,FALSE
GraelIslandComplete0606,Raising_Grael's_Island,,,Player has completed Raising Graels Island,FALSE
GraelIslandTempleEastAccess0606,Raising_Grael's_Island,,,Player has access to Eastern Catacombs Portal,FALSE
GraelIslandTempleNorthAccess1215,Raising_Grael's_Island,,,Player has access to Northern Catacombs Portal,FALSE
GraelIslandTempleWestAccess1215,Raising_Grael's_Island,,,Player has access to Western Catacombs Portal,FALSE
graelschamberportalflag,Mukkir_Aspect_of_Grael_Quest,,,Player has access to Graels Chamber,FALSE
GraelsRage,Grael's_Rage,,,Flagged for entry into Grael's Rage dungeons,FALSE
GraelsSummoningChamber_Start,Grael's_Summoning_Chamber,,,Player has started the Graels Summoning Chamber Quest,FALSE
GraelsSummoningChamber_Wait,Grael's_Summoning_Chamber,,,Player has completed Graels Summoning Chamber Quest,FALSE
GraverobberCompleted_0213,Resting_Place_Quest,,,Received reward from Grularr,FALSE
GraverobberStarted_0213,Resting_Place_Quest,,,Talked to Grularr in Kara to stamp quest,FALSE
greatcavepenguinegg,Cave_Penguin_Eggs,,,Great Cave Penguin Egg Pickup Timer,FALSE
GredalineArcaneRestoration,Virindi_Spells_Quest,,,Gredaline Arcane Restoration Scroll,FALSE
GredalineDarkFlame,Virindi_Spells_Quest,,,Gredaline Dark Flame Scroll,FALSE
GredalineUnnaturalPersistence,Virindi_Spells_Quest,,,Gredaline Unnatural Persistence Scroll,FALSE
greenbloodgem,Ricardo's_Blood_Gem,,,Ricardo's Blood Gem - Green,FALSE
GreenMireCuirassQuest,Green_Mire_Grave_Quest,,,Picked Up Broken Green Mire Cuirass,FALSE
GreenMireYariQuest,Green_Mire_Grave_Quest,,,Picked Up Broken Green Mire Yari,FALSE
GrievverSilk,Flags,,,Player has picked up some Grievver Silk and cannot pick up more for 2 weeks.,FALSE
GrimySeaInvasionKey_Pickup,Moarsmen_on_the_Shores_(Eastwatch),,,Pickup timer for Grimy Sea Invasion Key,FALSE
GromnieToothbrushAsh,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushAzure,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushBrass,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushCopper,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushEbon,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushIvory,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushJade,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushRust,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushSable,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothbrushSwamp,Glenden_Wood_Crafters,,,You have been granted experience into your cooking skill.,FALSE
GromnieToothpasteAsh,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteAzure,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteBrass,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteCopper,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteEbon,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteIvory,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteJade,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteRust,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteSable,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpasteSwamp,Glenden_Wood_Crafters,,,You have been granted experience into your alchemy skill.,FALSE
GromnieToothpickAsh,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickAzure,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickBrass,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickCopper,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickEbon,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickIvory,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickJade,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickRust,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickSable,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GromnieToothpickSwamp,Glenden_Wood_Crafters,,,You have been granted experience into your fletching skill.,FALSE
GuardianoftheDeruTrees_Completed,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,Player wait timer for the Guardian of the Deru Trees of Marae Lassel quest.,FALSE
GuardianoftheDeruTrees_FetishHandedIn,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,Player has handed the Wharu Fetish to the Altar of Tthuun.,FALSE
GuardianoftheDeruTrees_Flag,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,"Player flag for Roots of Skuld, Urd and Verdandi portal.",FALSE
GuardianoftheDeruTrees_StartFetish,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,Player has turned in the Corrupted Mana Shard for Guardian of the Deru Trees of Marae Lassel quest.,FALSE
GuardianoftheDeruTrees_StartJelly,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,Player has started the Guardian of the Deru Trees of Marae Lassel quest.,FALSE
GuardianoftheDeruTrees_StartShard,Guardian_of_the_Deru_Trees_of_Marae_Lassel,,,Player has turned in the Royal Jelly for Guardian of the Deru Trees of Marae Lassel quest.,FALSE
GuardWinterbornFlag,Aerbax's_Prodigal_Banderling,,,Player has completed Aerbax Prodigal Banderling Quest at least once.,FALSE
gurukbasherkillcount,Guruk_Basher_Kill_Task,,,Guruk Basher Kill Counter,FALSE
gurukcolossuskillcount,Guruk_Colossus_Kill_Task,,,Guruk Colossus Kill Counter,FALSE
gurukmarauderkillcount,Guruk_Marauder_Kill_Task,,,Guruk Marauder Kill Counter,FALSE
guruksmasherkillcount,Guruk_Smasher_Kill_Task,,,Guruk Smasher Kill Counter,FALSE
GwillimAlchemyBag,Feud_of_Neydisa_and_Bandit_Castle,,,Gwillim's Alchemy Bag,FALSE
GwillimAlchemyNote,Feud_of_Neydisa_and_Bandit_Castle,,,Gwillim's Alchemy Notes,FALSE
GYColoOrnateBoneKeyTurnedIn,Lord_Mhoire_Quest,,,Player has turned in ornate bone key,FALSE
GYColoWinRewardReceived,Lord_Mhoire_Quest,,,Received Reward from GY Colo,FALSE
HaltDericostRitualQuestFlag,Halt_Dericost_Ritual_Quest,,,One time Flag for Halt Dericost Ritual Quest,FALSE
HamudsDemiseCompleted_0511,Hamud's_Demise,,,Completed Hamuds Demise,FALSE
HamudsDemiseStarted_0511,Hamud's_Demise,,,Started Hamuds Demise,FALSE
HandofBlightfinger_Pickup,Tentacles_of_T'thuun,,,Player has picked up Hand of Blightfinger,FALSE
HarbingerRaiseLeadership,Harbinger,,,I want to raise this skill.,FALSE
HareltahKill1,Hea_Totem_Quest,,,Give Aun Hareltah TribalTotemHea,FALSE
HarraagsLairFlag,Aerbax's_Prodigal_Banderling,,,Player flag for drop location portal in Harraags Hideout,FALSE
HarvesterInitialQuest,,,,Harvester in the Mist,FALSE
HasAtamarrIron,Atamarr_Tasks,,,HasAtamarrIron flag,FALSE
HasLordStatueRiddle,Lord_Test,,,Lord Test Statue Has Given Riddle,FALSE
HasSphinxRiddle,,,,Player has received a riddle from the head.,FALSE
HauberkLugian,First_Contact,,,Lugian Commander Trophy,FALSE
HAUNTEDMANSIONDUNGEONPERMISSION,Frest_Greelving's_Haunted_Mansion,,,Player has permission to use Dungeon portal,FALSE
HeaBoneFlag,Hea_Bone_and_Hide_Shirt_Quest,,,Flagged to enter Hagra's Holdfast,FALSE
HeaBoneFlagTimer,Hea_Bone_and_Hide_Shirt_Quest,,,Hagra's Holdfast Portal Flag Timer,FALSE
HeaBoneTreatyTurnin,Hea_Bone_and_Hide_Shirt_Quest,"Dont kill Hagra, talk to then turn in to Hea Kassoka",,Timer for turning in Hagras Treaty,FALSE
HeadFazendaTerror,Farmer_Kao's_Plea_for_Help,,,Picked Up Fazenda Terror's Head,FALSE
HeadMorgluuk,Noble_Weapons_Quest,,,You've collected the head from Morgluuk's remains.,FALSE
HeadofPontifexMaegris_Pickup,Grael's_Summoning_Chamber,,,Player has picked up the Head of Pontifex Maegris,FALSE
HeardBlindSnowmanSadStory,Three_Eyed_Snowman_Kill_Task,Talk to Blind Snowman,,Player has heard the Blind Snowmans sad story.,FALSE
HeartInnocentTaken,Heart_of_Innocence_Quest,,,You got the heart of Jaleh,FALSE
HeartofArchmageAigonne_Pickup,Grael's_Summoning_Chamber,,,Player has picked up the Heart of Archmage Aigonne,FALSE
HeartofArchmageAigonne_TurnIn,Grael's_Summoning_Chamber,,,PLayer has turned in the Heart of Archmage Aigonne,FALSE
HeartofInnocence,Heart_of_Innocence_Quest,,,Access to the Heart of the Innocent,FALSE
HeaToneawaCompleted,An_Aun_Hea_Romance,,,Hea Toneawa and Aun Mariona quest. Toneawa sends players on this quest only once a day.,FALSE
HelmSimulacra,Simulacra_Infiltrators,,,Helm of the Simulacra,FALSE
HelpedAsheron,,,,You have entered a dungeon to try to help Asheron!,FALSE
HelpedJonas,The_Painbringer_Quest,,,You've helped out Jonas.,FALSE
HighPriestAcolyteDead,High_Priest_of_T'thuun_Kill_Task,,,HighPriestAcolyteDead,FALSE
HighPriestFirstDead,High_Priest_of_T'thuun_Kill_Task,,,HighPriestFirstDead,FALSE
HighPriestSecondDead,High_Priest_of_T'thuun_Kill_Task,,,HighPriestSecondDead,FALSE
HighPriestThirdDead,High_Priest_of_T'thuun_Kill_Task,,,HighPriestThirdDead,FALSE
HiveEvisPincer_0513,Hive_Eviscerator_Pincer_Quest,Pick up Pincer,,Hive Eviscerator Pincer,FALSE
HizkRiBeaten,The_Temple_of_Hizk_Ri,,,You beat the temple of Hizk Ri.,FALSE
HizkRiComplete,The_Temple_of_Hizk_Ri,,,You've completed the Hizk Ri quest with a fellowship.,FALSE
HizkRiEntrance,The_Temple_of_Hizk_Ri,,,You've been given the entrance exam for Hizk Ri's temple; go pass it!,FALSE
HizkRiEntrance1,The_Temple_of_Hizk_Ri,,,So far so good you have one part of the entrance exam right!,FALSE
HizkRiEntrance2,The_Temple_of_Hizk_Ri,,,So far so good you have one part of the entrance exam right!,FALSE
HizkRiEntrance3,The_Temple_of_Hizk_Ri,,,So far so good you have one part of the entrance exam right!,FALSE
HizkRiEntrance4,The_Temple_of_Hizk_Ri,,,So far so good you have one part of the entrance exam right!,FALSE
HizkRiEye1,The_Temple_of_Hizk_Ri,,,You have selected the correct eye in the Gauntlet.,FALSE
HizkRiEye2,The_Temple_of_Hizk_Ri,,,You have selected the correct eye in the Gauntlet.,FALSE
HizkRiEye3,The_Temple_of_Hizk_Ri,,,You have selected the correct eye in the Gauntlet.,FALSE
HizkRiEye4,The_Temple_of_Hizk_Ri,,,You have selected the correct eye in the Gauntlet.,FALSE
HizkRiSarcophagus,The_Temple_of_Hizk_Ri,,,You've claimed the reward from the Sarcophagus of Hizk Ri.,FALSE
HoltburgComplete,Elysa's_Favor_Quest,,,Player has completed the Yaraq Regicide Quest,FALSE
HoltburgGreetingGiven,Elysa's_Favor_Quest,,,Rylanan has said hello to player,FALSE
HoltburgNoteBrogord1204,Brogord's_Demise,,,Retreive a note from Brogord,FALSE
HolySymbolPickupTimer,High_Priest_of_T'thuun_Kill_Task,,,You have obtained the holy symbol from T'thuun Priest.,FALSE
hookhealingmachine,Fiun_Healing_Machine_Quest,,,Healing Machine Hook,FALSE
HouseStatueBanderlingGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueBenTenGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueDrudgeGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueGolemGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueGrievverGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueGromnieGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueMosswartGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueReedsharkGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueSclavusGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueSclavusHighGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueShadowGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueSkeletonGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueSkeletonHighGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueThorstenGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueTumerokGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueVirindiGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HouseStatueZharalimGiven,Bronze_Statues_Quest,,,Player has given received this house statue and can't get another one for a week.,FALSE
HugeMonougaRib_Pickup,Monouga_Feeding_Pit_Quest,,,Player has picked up Huge Monouga Rib,FALSE
HuskRegicidePickUp,Elysa's_Favor_Quest,,,Player has picked up the husk,FALSE
IceCampLeatherMaterialsPickedUp0805,Halaetan_Beach_Camps,,,FineLeatherScraps Timer,FALSE
IceCampQuestFinished0805,Halaetan_Beach_Camps,,,NPC Timer for Halaetan Beach Camps,FALSE
IkzisikTikaRiZikmaFlag,Messenger's_Collar_Quest,,,Player equipped Messengers Collar,FALSE
IllGottenRewards1,The_Callous_Heart_Quest_(High),,,Player has handed a reward gem to Kai and has two more trips.,FALSE
IllGottenRewards2,The_Callous_Heart_Quest_(High),,,Player has handed a reward gem to Kai and has two more trips.,FALSE
ImpiousQuestIronOre,Impious_Staff_Quest,,,Impious Staff Iron Ore Quest,FALSE
InfiltrationBalorFurAcquired0205,Balor's_Rescue,,,You acquired a swatch of Balor's fur.,FALSE
InfiltrationComplete_0511,Balor's_Rescue,,,Handed Coda to Lord Kresovus,FALSE
InfiltrationNoteAcquired0205,Balor's_Rescue,,,You acquired the note from Kerrak.,FALSE
InfiltrationRobeAcquired0205,Balor's_Rescue,,,You acquired the Shadow Lugian robe.,FALSE
InfiltrationShadowLugianPortalDestroyed0205,Balor's_Rescue,,,You have been marked by the Darkness.,FALSE
InfiltrationShieldAcquired0205,Balor's_Rescue,,,You acquired the Shadow Lugian shield.,FALSE
IniquitousFragment,Sepulcher_of_Nightmares,,,Pickup timer for Iniquitous Fragment - Sepulcher of Nightmares,FALSE
insatiableeaterjaw,Insatiable_Eater_Jaw_Quest,,,Insatiable Eater Jaw,FALSE
inscribedpurplegem,Asheron's_Departure_Lower,,,Inscribed Purple gem,FALSE
intricatemukkirorbnotespickup,Faces_of_the_Mukkir_(Expert),,,Timer for Vaserio's Encoded Notes pickup,FALSE
ironbladetrooperkillcount,Iron_Blade_Trooper_Kill_Task,,,kill count,FALSE
IronBladeTrooperKillTask,Iron_Blade_Trooper_Kill_Task,,,kill task timer,FALSE
IronSpinedChittickKills,Iron_Spined_Chittick_Kill_Task,,,Iron Spined Chittick Kill Counter,FALSE
IshaqsLostKeyComplete_0511,Ishaq's_Lost_Key_Quest,,,Returned Ishaq's Lost Key,FALSE
IshaqsLostKeyPickedUpKey1204,Ishaq's_Lost_Key_Quest,,,You've picked up Ishaq's Lost Key.,FALSE
IshaqsLostKeyPickedUpNotes1204,Ishaq's_Lost_Key_Quest,,,You've picked up Ishaq's notes. For shame!,FALSE
IzjiQoBeaten,The_Temple_of_Izji_Qo,,,You've beaten the Temple of Izji Qo!,FALSE
IzjiQoComplete,The_Temple_of_Izji_Qo,,,You've received a reward for the Temple of Izji Qo.,FALSE
JacobsAxePickup,Jacob's_Axe_Quest,,,Picked Up Jacob's Axe,FALSE
JadeMedallionDepths_Pickup,Tanada_Temple_of_Black_Water_Quest,,,Player has picked up the Jade Medallion Depths,FALSE
JambiyaAbmimPickup,Search_for_Abmim_ibn_Ibsar_&_Mad_Star_Investigation,,,Ma'yad ibn Ibsar Quest,FALSE
JawaqHeadWait,Investigating_the_Societies,,,Cooldown for Jawaq Head Turn In,FALSE
jesterfocusescompleted,Jester_Focuses,,,Turned in Empowered Knath Core,FALSE
jesterfocusesstarted,Jester_Focuses,,,Handed in Piece of Knath Core,FALSE
jestermarbleturnin,Jester's_Lost_Marbles,,,Handed in Jesters Marbles,FALSE
jestermarkercomplete,Jester's_Lost_Marbles,,,Handed in Jester Marker,FALSE
JesterPart1Started,,,,quest timer,FALSE
JitteKrauLiLesser,Mi_Krau-Li's_Jitte_Quest,,,Lesser Jitte of Mi Krau-Li,FALSE
JondorTurnInWait,Investigating_the_Societies,,,Cooldown for Jondor Book Set Turn In,FALSE
JosefKeyGiven,Major_Prismatic_Stone_Quest,,,Player has received Gaerlan's Key from Josef,FALSE
JournalHighArchonKraest,Sepulcher_of_Nightmares,,,Pickup Flag for Journal of Kraest,FALSE
JTMCanUseCage_0613,,,,quest timer,FALSE
JTMCompleted_0613,,,,quest timer,FALSE
JTMKeyPickup_0613,,,,quest timer,FALSE
JTMStarted_0613,,,,quest timer,FALSE
KaosFeedBag,Farmer_Kao's_Plea_for_Help,,,Picked Up Farmer Kao's Feed Bag,FALSE
KaosGardenGloves,Farmer_Kao's_Plea_for_Help,,,Picked Up Farmer Kao's Gardening Gloves,FALSE
KaosShovel,Farmer_Kao's_Plea_for_Help,,,Picked Up Farmer Kao's Shovel,FALSE
KaosWaterBucket,Farmer_Kao's_Plea_for_Help,,,Picked Up Farmer Kao's Water Bucket,FALSE
KeepBannerClaimedWait,Non-Quest,Land Control --- Works for Freebooter and Northwatch,,Cooldown for Society Keep Banner claiming,FALSE
KeepBuffingArrayWait,Non-Quest,Land Control --- Works for Freebooter and Northwatch,,Cooldown for Society Keep Buffing Array usage,FALSE
KeepRewardsWait,Non-Quest,Land Control --- Works for Freebooter and Northwatch,Have to be PK to claim rewards for taking Keep,Cooldown for Keep PK reward,FALSE
KeerikBeaten,Clutch_of_Kings_(Keerik),,,You've beaten Keerik.,FALSE
KeerikComplete,Clutch_of_Kings_(Keerik),,,You've completed the Keerik quest.,FALSE
KeerikKilled,Clutch_of_Kings_(Keerik),,,You killed Keerik.,FALSE
KeyAerfalle,Lady_Aerfalle_Quest,,,Aerfalle's Chest Key,FALSE
KeyContactReceived,Coarse_Hide_Shirt_and_Distilled_Mana_Potions,,,You have taken the key off the Renegade Lugian's corpse.,FALSE
KeyJalehTaken,Heart_of_Innocence_Quest,,,You got the key to open Jaleh's Chest,FALSE
KeyNoir1,Noir_Assassination_Investigation,,,You've received the prison key.,FALSE
KeyOverlord,Overlord's_Sword_Quest,,,Tumerok Overlord's Key,FALSE
KillBoshBosh_Start,Killing_Bosh_Bosh,,,Player has started Killing Bosh Bosh,FALSE
KilledMenacet,Elysa's_Favor_Quest,,,Writ Nov Quest 1,FALSE
KillPhyntosQueenPickup1109,Phyntos_Queen_Quest,,,Pickup timer for Phyntos Queen Abdomen,FALSE
KillTask-BlightSpirit,Investigating_the_Societies,,,Counter for Blight Spirit Kill Task,FALSE
KillTask-BlightSpiritWait,Investigating_the_Societies,,,Cooldown for Blight Spirit Kill Task,FALSE
KillTaskAlteredDrudges_0507,Altered_Drudge_Kill_Task,,,Altered Drudges Kill Task,FALSE
KillTaskApostateVirindiHigh_0710,The_Empyrean_Portalspace_Stabilizer,Talk to Emissary of Asheron on Freebooter isle,,High level kill task for The Empyrean Portalspace Stabilizer Quest.,FALSE
KillTaskAugmentedDrudges_0507,Augmented_Drudge_Kill_Task,,,Augmented Drudges Kill Task,FALSE
KilltaskBloodShreth,Blood_Shreth_Kill_Task,,,Blood Shreth Kill Task,FALSE
KilltaskBloodShrethWait,Blood_Shreth_Kill_Task,,,Blood Shreth Kill Task Timer,FALSE
KilltaskCorruptedGravestonesWait_1311,Corrupted_Gravestone_Kill_Task,,,Corrupted Gravestones Kill Task,FALSE
KilltaskCorruptedGravestones_1311,Corrupted_Gravestone_Kill_Task,,,Corrupted Gravestones Kill Task,FALSE
KillTaskCrystallineWisps10109,Crystalline_Killer,,,Crystalline Wisp Kill Task,FALSE
